"born_CH","since","male","kids","unemployed","refugee","married","percent_novotes_rounded","origin_region","application_decade","age","education","local_language","integration_level","skill_level"
0,22.0000004768372,1,1,NA,NA,1,23,"Former Yugoslavia and Turkey","1990s","41–60 years",NA,NA,NA,"low"
0,25,1,1,NA,NA,1,25,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,NA
0,20,1,0,NA,NA,NA,32,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,"high"
0,NA,1,1,NA,NA,1,36,"Norther & Western Europe","1980s","41–60 years",NA,NA,NA,NA
1,NA,1,1,NA,NA,1,19,"Southern Europe","1980s","21–40 years","low",NA,NA,"high"
1,NA,0,0,NA,NA,NA,15,"Southern Europe","1990s",NA,"low",NA,NA,"high"
0,25.9999990463257,0,1,NA,NA,0,46,"Former Yugoslavia and Turkey","2000s","41–60 years","low",NA,NA,"low"
0,12.0000004768372,1,0,NA,NA,0,47,"Former Yugoslavia and Turkey","2000s","21–40 years","low",NA,NA,"low"
0,16.0000002384186,1,1,NA,NA,1,32,"Norther & Western Europe","2000s","60+ years","low",NA,NA,"middle"
0,17.9999995231628,1,0,NA,NA,NA,32,"Central & Eastern Europe","2000s","21–40 years","low",NA,NA,NA
0,17.9999995231628,1,1,NA,NA,1,46,"Former Yugoslavia and Turkey","2000s","21–40 years",NA,NA,NA,"low"
1,NA,1,0,NA,NA,0,37,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,"high"
1,NA,1,0,NA,NA,NA,45,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,NA,"low"
0,20.9999990463257,1,1,NA,NA,1,44,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
0,22.0000004768372,1,1,NA,NA,1,38,"Former Yugoslavia and Turkey","2000s","41–60 years",NA,NA,NA,"low"
1,NA,1,0,NA,NA,NA,24,"Norther & Western Europe","1980s","21–40 years","low",NA,NA,"low"
1,NA,0,0,NA,NA,NA,39,"Former Yugoslavia and Turkey","2000s",NA,"low",NA,NA,"high"
1,NA,1,0,NA,NA,NA,37,"Southern Europe","2000s","21–40 years","low",NA,"integrated",NA
0,16.0000002384186,0,0,NA,NA,NA,24,"Asian Countries","1990s","41–60 years","low",NA,NA,"high"
0,16.0000002384186,1,0,NA,NA,NA,39,"Former Yugoslavia and Turkey","1990s","21–40 years","low",NA,NA,"high"
1,NA,0,0,NA,NA,NA,26,"Southern Europe","2000s","21–40 years","low",NA,NA,"high"
